Fecha;Comprobante;Proveedor;Descripcion producto;Importe;Moneda;Gerencia;Tipocompra
15/11/2021;OC-00010647;GATTI ZAPATA S.R.L. ( Sized Solutions );Cajas Navideñas 2021 para obsequiar al personal de Arsat. Todo s/ Pliego adjunto.;$ 5.378.400,00;Pesos;Subgerencia de RRHH y RSE;Contratacion directa - Inciso A
15/11/2021;OC-00010648;HELLO WORLD S.R.L;Patrocinio sobre evento reposicionamiento de marca datacenter;$ 379.335,00;Pesos;Gerencia Comercial;Contratacion directa - Inciso B
15/11/2021;OC-00010649;HOMU S.A.;AD803LY - SERVICE 60000 KM + ALIN ROT Y BAL - FORMOSA-TOYOTA HILUX 4X4 C/S DX 2.4 TDI 6 M/T--2019-8AJFB8CB2L1559210-GARANTIA;$ 31.900,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Contratacion directa - Inciso F
15/11/2021;OC-00010650;RIGACAR SRL QUICK LANE TUCUMAN;AB973UN - SERVICE 100000KM + ALIN ROT Y BAL - TUCUMAN-FORD RANGER DC 4x4 XL 2.2L D--2017-8AFAR23K5JJ038962-GARANTIA;$ 29.660,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Contratacion directa - Inciso F
15/11/2021;OC-00010651;AUTO TIGRE S.A.;AC787OL - PROVISION DE BARRA IMPCT PCHQTR+ ALMOHADILLA DEFENSA+ PROTECTOR ESCALON DEFENSA LI Y LD (CORRESPONDE A SINIESTRO N°1035030  A RECUPERAR) - BENAVIDEZ-CHEVROLET S10 2.8TD 4X4 DC LT L17--2018-9BG148FK0JC446871-;$ 120.200,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Contratacion directa - Inciso F
15/11/2021;OC-00010652;Nacion Seguros S.A.;Póliza de seguro de caución - Garantía de ejecución de contrato. Póliza 14-19366, ´l;$ 11.827,20;Pesos;Gerencia Comercial;
16/11/2021;OC-00010654;WETEL S.R.L;Kit de Retención;$ 2.430,00;Dólares;Gerencia de Operaciones Terrestres;Compras Menores
16/11/2021;OC-00010655;Industrias KC SRL;Kit de Suspensión ;$ 1.113,00;Dólares;Gerencia de Operaciones Terrestres;Compras Menores
16/11/2021;OC-00010656;TODARELLO DAMIAN ANTONIO;Alquiler equipo sonido para evento en predio Arsat;$ 34.000,00;Pesos;Gerencia de Relaciones Institucionales;
17/11/2021;OC-00010661;LACNIC;LACNIC-Licencia anual 2021;$ 5.415,00;Dólares;Gerencia de Operaciones Terrestres;Contratacion directa - Inciso C
17/11/2021;OC-00010659;TERASAT SA;Reparación de lote de rectificadores fallados (segundo lote 2021);$ 18.811,00;Dólares;Gerencia de Operaciones Terrestres;Compras Menores
17/11/2021;OC-00010662;YURREBASO DIESEL S.A.;Reparación de bombas inyectoras;$ 290.400,00;Pesos;Gerencia de Operaciones Terrestres;Compras Menores
17/11/2021;OC-00010663;Telefonica Moviles Argentina S.A.;"servicio M2M (machine two machine) mediante GPRS, para la correcta operatividad y backup de conexión para los dispositivos remotos de colección de alarmas instalados en los shelters de la Red Federal de Fibra Óptica de ARSAT.•	Servicio GPRS mediante Simcards 2g ya instaladas en nodos REFEFO.	•	Plataforma de administración de Simcard y servicio M2M.	•	Soporte y mesa de ayuda sobre servicio M2M.	Periodo Enero a julio de 2021:  $ 185.920,00 	Periodo agosto 2021:  $ 34.860,00 	Periodo  $ 126.336,00 	";$ 347.116,00;Pesos;Gerencia de Operaciones Terrestres;Contratacion directa - Inciso C
17/11/2021;OC-00010657;PS DATA SA;COLOCACION MARCO Y TAPA CAMARA  ROSARIO;$ 26.058,08;Pesos;Gerencia de Operaciones Terrestres;
17/11/2021;OC-00010658;MOTORES ELECTROMECANICA ATLAS S.A.;Fan coil;$ 12.311,75;Pesos;Subgerencia de Servicios Corporativos y Logistica;
17/11/2021;OC-00010660;Multicontrol S.A.;Automatico-Manual 16 Inversore                           ;$ 84,70;Dólares;Subgerencia de Servicios Corporativos y Logistica;
18/11/2021;OC-00010670;Nacion Seguros S.A.;Renovación póliza D&O;$ 33.757,01;Dólares;Gerencia de Administracion y Finanzas;Contratacion directa - Inciso A
18/11/2021;OC-00010666;Blockener S.A.;"Cintas de fibra de vidrio con Borosilicato Texturada , total de 150 mts , en rollos de 5 mts (preferido) , ó de 30 mts ; de 50mm de ancho y 1,5 mm de espesor . Mantenimiento correctivo GE de sitios REFEFO";$ 22.980,00;Pesos;Gerencia de Operaciones Terrestres;Compras Menores
18/11/2021;OC-00010667;IOMAQ SA;Abrazaderas acero inoxidable Chicas;$ 15.600,12;Pesos;Gerencia de Operaciones Terrestres;Compras Menores
18/11/2021;OC-00010668;IOMAQ SA;Acoples kit x4 unidades;$ 3.093,44;Pesos;Subgerencia de Servicios Corporativos y Logistica;Compras Menores
18/11/2021;OC-00010669;AMIUN SA;AD803LR - SERVICE 70000 KM + ALIN ROT Y BAL + ARMADO DE 2 CUBIERTAS - RECONQUISTA-TOYOTA HILUX 4X4 C/S DX 2.4 TDI 6 M/T--2019-8AJFB8CB2L1559207-GARANTIA;$ 29.463,75;Pesos;Subgerencia de Servicios Corporativos y Logistica;Contratacion directa - Inciso F
18/11/2021;OC-00010671;DE BRITO SANTIAGO GUILLERMO;Incorporación de material institucional dentro del portal web de la revista Naturaleza & Tecnología.;$ 252.000,00;Pesos;Gerencia de Relaciones Institucionales;Contratacion directa - Inciso H
18/11/2021;OC-00010677;IOMAQ SA;Taladro percutor 700 (w );$ 540.570,40;Pesos;Gerencia de Operaciones Terrestres;Contratacion directa - Inciso A
18/11/2021;OC-00010678;Fernandez Carlos Alberto - Imprenta Big Ben;Con papel quimico x 16 juegos  de 100 N° triplicado;$ 40.000,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;
18/11/2021;OC-00010672;KONECTA INSUMOS SANITARIOS SOCIEDAD DE RESPONSABILIDAD LIMITADA;Manguera tanque australiano;$ 5.895,68;Pesos;Subgerencia de Servicios Corporativos y Logistica;
18/11/2021;OC-00010673;SANZ HNOS GO SRL;JUEGO MONOCOMANDO MESADA ;$ 8.361,69;Pesos;Subgerencia de Servicios Corporativos y Logistica;
18/11/2021;OC-00010675;Diesel Rusconi S.R.L.;Reparación y limpieza de bomba inyectora de grupo electrógeno PALMERO PP45. Nodo REFEFO Ayacucho-Motivo: Mal funcionamiento del grupo electrógeno. ;$ 50.000,00;Pesos;Gerencia de Operaciones Terrestres;
18/11/2021;OC-00010676;REVESTIR S.A;TRITURADOR PARA COCINA;$ 46.725,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;
19/11/2021;OC-00010685;Tower Beacon, LLC;Flashtube FT101 Marca Flash Technology ód. (8384329);$ 1.950,00;Dólares;Subgerencia de Servicios Corporativos y Logistica;Compras Menores
19/11/2021;OC-00010680;D-K KOMUR;Reparación babeta y desagües en semicubierto de acceso en Edificio Data Center de la  Estación Terrena Benavidez.;$ 397.621,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Compras Menores
19/11/2021;OC-00010681;Oscar Genaro Mammella;LTM824 - Service 280000 km rotacion alineacion y balanceo, cambio de faro trasero derecho con mano de obra - Rosario-VW AMAROK 2.0 TDI 122 CV 4x4 S34--2012-8AWDD42H0CA033278-;$ 43.400,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Contratacion directa - Inciso F
19/11/2021;OC-00010682;BLUE SPORT SRL;Kit completo freno cable pastillas ;$ 7.000,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Compras Menores
23/11/2021;OC-00010686;MENIW JUAN CARLOS;fabricación, entrega y montaje de cerramientos y puertas para oficinas 2do piso Edificio Adm 2;$ 516.670,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Compras Menores
23/11/2021;OC-00010688;BORGO JORGE OSCAR;AD072IG - KIT REPARACION EJE TRAS, RECTIFICAR CAMPANA DE FRENO, JUEGO CINTAS FRENO, REPARA CILINDROS FRENO, CUERPO DEL TERMOSTATO, LIQ REF - CONCORDIA}-PEUGEOT PARTNER FURGON CONFORT 1.6 2P-708414 111509 111 00-2018-8AEGC9HPAJG530385-;$ 88.660,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Contratacion directa - Inciso F
23/11/2021;OC-00010687;GRUPO TAM  SRL;Resaltadores y cuadernos;$ 26.972,87;Pesos;Subgerencia de Servicios Corporativos y Logistica;
24/11/2021;OC-00010689;CORREA JAVIER ALFONSO ( REPUESTOS LOS AMIGOS );LYH107 - Service 275000 km +7 tuercas para rueda + manguera de agua - Perito Moreno;$ 23.178,04;Pesos;Subgerencia de Servicios Corporativos y Logistica;Compras Menores
24/11/2021;OC-00010694;G.K. COM SA;Por la provisión de mano de obra para la reparación del sistema de balizamiento de EDT Bahía Blanca en un todo de acuerdo al pliego de especificaciones técnicas de la SC-8644;$ 240.790,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Contratacion directa - Inciso A
24/11/2021;OC-00010693;Control Informatico de Cargas S.A;flete internacional;$ 1.905,45;Dólares;Gerencia de Administracion y Finanzas;Compras Menores
24/11/2021;OC-00010690;LLANES RAMON EZEQUIEL Y LLANES CRISTIAN ADRIAN S.H.;PASADOR PARA INMOBILIARIOS SALA SATELITAL;$ 14.500,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;
24/11/2021;OC-00010692;REVESTIMIENTOS DEL PLATA S.A. PINTURERIAS DEL PLATA;Pintura vial para ETB;$ 46.406,12;Pesos;Subgerencia de Servicios Corporativos y Logistica;
25/11/2021;OC-00010695;KUCHEN GUSTAVO RUBEN;Reparacion cerco EDT Villa Angela ;$ 482.000,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Compras Menores
25/11/2021;OC-00010697;DEVAC;Energizador Maninga;$ 27.784,46;Pesos;Subgerencia de Servicios Corporativos y Logistica;Compras Menores
25/11/2021;OC-00010698;MUSMANNO MARCELO ALBERTO;Bornera de distribución Schneider, DISTRIBLOCK 63 A 4M 04041 (SCHNEIDER);$ 119.407,20;Pesos;Subgerencia de Servicios Corporativos y Logistica;Compras Menores
25/11/2021;OC-00010700;DIGITAL MED S.A.;REPARACIONES MAYORES TRAMO: CENTENARIO - NEUQUEN;$ 5.581.942,81;Pesos;Gerencia de Operaciones Terrestres;Contratacion directa - Inciso B
25/11/2021;OC-00010696;ECOBAT S.R.L;Septiembre  (20/09 a 20/10);$ 7.260,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;
26/11/2021;OC-00010704;Autos Mediterraneos SA;NWD155 - PROVISION Y REEMPLAZO DE AMORT TRAS Y DEL + BUJES DE CAJA DIRECCION + BUJES DE BARRA + REGULAR FRENOS TRAS + ALIN Y BAL - SAN LUIS-VW AMAROK 2.0 TD 4x4 DC 2014--2014-8AWDD42H5DA053799-;$ 108.770,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Compras Menores
26/11/2021;OC-00010702;Fernandez Carlos Alberto - Imprenta Big Ben;Talonarios Papel quimico;$ 2.900,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;
26/11/2021;OC-00010703;SARTHOU AUTOMOTORES S.A.;AD803LW - REPARACION ADICIONAL JUEGO DE PASTILLAS DE FRENO Y DISCOS - BENAVIDEZ-TOYOTA COROLLA XEI PACK 1.8 CVT--2019-9BRBU3HE2K0190149-GARANTIA;$ 47.857,27;Pesos;Subgerencia de Servicios Corporativos y Logistica;
29/11/2021;OC-00010705;SAN CRISTOBAL SOCIEDAD MUTUAL DE SEGUROS GENERALES;Seguro traslado Peem Bariloche - Benavidez fecha a confirmar - ver adjuntos por detalles;$ 2.127,00;Dólares;Subgerencia de Servicios Corporativos y Logistica;Contratacion directa - Inciso A
29/11/2021;OC-00010706;LA RIOJA TELECOMUNICACIONES SAPEM;Ampliación orden de compra OC-00008477 ;$ 114.040,59;Dólares;Gerencia de Operaciones Terrestres;Contratacion directa - Inciso K
30/11/2021;OC-00010707;ARMORIQUE MOTORS S.A.;AD027DW - TRABAJOS ADICIONALES A OC 10343 - NEUQUEN-PEUGEOT PARTNER FURGON CONFORT 1.6 2P-708414 111509 115 06-2018-8AEGC9HPAJG530397-;$ 48.170,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;
1/12/2021;OC-00010709;La Esquina del Neumatico S.A.;AC181VM - PARCHE DUROL - BENAVIDEZ-PEUGEOT PARTNER CONFORT 1.6 HDI 92 CV 5 PLAZAS--2018-8AEGR9HPAJG524386-;$ 700,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;
1/12/2021;OC-00010710;HAUSWAGEN - PILAR S A;AC300KY - PROVISION Y REEMPLAZO DE CAÑO DE REFRIGERANTE + LIQUIDO -  BENAVIDEZ-VW VENTO 1.4 TSI BM TECH--2018-3VWVP6162JM012864-GARANTIA;$ 23.116,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;
1/12/2021;OC-00010711;ENEXAR S.R.L.;Capacitatores para aire acondicionado;$ 94,38;Dólares;Subgerencia de Servicios Corporativos y Logistica;
2/12/2021;OC-00010713;EL BAMBU ESPACIOS VERDES;Begonia flor de azucar macetas 12;$ 3.750,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Compras Menores
2/12/2021;OC-00010717;Cristower SRL;revisión de la condición del Mástil de la EDT Santiago del Estero luego del incendio de los terrenos aledaños a la estación.;$ 238.000,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Compras Menores
2/12/2021;OC-00010712;MOTORES ELECTROMECANICA ATLAS S.A.;forzador fancoil 2 ejes;$ 26.728,90;Pesos;Subgerencia de Servicios Corporativos y Logistica;
3/12/2021;OC-00010726;TOMOL S.R.L.;Eucaliptus Saligna medidas 800mm (A) x 1000mm (B) según norma IRAM 10016 ARLOG CLASE B para 1500 Kg. Clavado neumatico. Clavos de acero espiralado 75mm;$ 181.318,50;Pesos;Subgerencia de Servicios Corporativos y Logistica;Compras Menores
3/12/2021;OC-00010720;AUTOS DEL SUR S.A.;OEF945 - REEMPLAZO Y PROVISION DE BOMBA DE AGUA (ADICIONAL A OC 10524) - ESQUEL -TOYOTA HILUX L/12 2.5 DC 4x4 TD DX PACK--2014-8AJFR22G0E4570410-;$ 70.277,80;Pesos;Subgerencia de Servicios Corporativos y Logistica;Contratacion directa - Inciso F
3/12/2021;OC-00010721;KOLODZIEJEZUK GUILLERMO;LFU730 -  DESACTIVAR SISTEMA INMOVILIZADOR - ESQUEL-FORD RANGER 3.0 TDI DC 4x4 L/10 XLT--2012-8AFER13PXCJ006261-;$ 67.200,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Contratacion directa - Inciso F
3/12/2021;OC-00010724;REVESTIMIENTOS DEL PLATA S.A. PINTURERIAS DEL PLATA;Lata 20 lits ;$ 32.693,30;Pesos;Subgerencia de Servicios Corporativos y Logistica;
3/12/2021;OC-00010719;BOROWSKI SAUL VICTOR;ALUMINIO TAPAJUNTA 36mm x 2,5m PLOMO MATE A1;$ 19.328,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;
6/12/2021;OC-00010731;ACED ARGENTINA SOCIEDAD ANONIMA;Rep.Def.-TendidodeFORetrasadoRta7LocSanMartínProvMendoza-OCT21-Tareas a realizar: apertura, rutinado y cierre de 1 cámara + rutinado y cierre de 2 cámaras + tendido de FO 760mts + desmonte de FO 760mts + provisión de 8 tapas de cámara;$ 273.760,08;Pesos;Gerencia de Operaciones Terrestres;Compras Menores
6/12/2021;OC-00010733;RUILARSA SRL;Ampliación OC-00009398;$ 1.579.183,23;Pesos;Gerencia de Operaciones Terrestres;Contratacion directa - Inciso I
6/12/2021;OC-00010729;Ibercom Multicom SA;Rep.Def.-LocTomasJofreBsAs-SEP2021-Tareas a realizar: desmonte de 500 mts de FO aérea + tendido 500 mts FO antiroedor (incluye herrajes) + poda de árboles 50 mts + protección 1/2 caña aérea 5 0mts + apertura y cierre de 1 und de cámara enterrada.;$ 268.775,00;Pesos;Gerencia de Operaciones Terrestres;Compras Menores
6/12/2021;OC-00010737;CIRION TECHNOLOGIES ARGENTINA S.A. (EX CENTURY LINK);"OC R3 Century - Lumen ""Mantenimiento de VSATs""";$ 9.866.517,06;Pesos;Subgerencia de Servicios de Transporte Audiovisual y Satelitales;Licitacion Publica Nacional
6/12/2021;OC-00010728;Control Informatico de Cargas S.A;Flete internacional;$ 3.857,30;Dólares;Gerencia de Administracion y Finanzas;Contratacion directa - Inciso A
6/12/2021;OC-00010730;Ibercom Multicom SA;Asistencia civil corte de F.O. aérea - CAP. BERMUDEZ - SANTA FE;$ 36.800,00;Pesos;Gerencia de Operaciones Terrestres;
6/12/2021;OC-00010736;CABEZAS HUENUMAN, RUBEN HERNAN;ALQUILER AUTOELEVADOR (ALQUILER X HR AUTOELEVADOR)- BARILOCHE;$ 21.000,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;
6/12/2021;OC-00010727;AUTOS DEL SUR S.A.;OEF945 - ADICIONAL A OC 10524 - ESQUEL-TOYOTA HILUX L/12 2.5 DC 4x4 TD DX PACK--2014-8AJFR22G0E4570410-;$ 12.099,97;Pesos;Subgerencia de Servicios Corporativos y Logistica;
7/12/2021;OC-00010742;ESPA ELEC SRL;REPARACION DE FUSIONADORA INNO - VIEW 5 - S/N 02826010323 Y CORTADORA DE FO INNO – VIEW 7 - C18071891 - EX GO-SJN a MULETO;$ 1.005,51;Dólares;Gerencia de Operaciones Terrestres;Compras Menores
7/12/2021;OC-00010740;D-K KOMUR;canaletas y desagües para el edificio Administrativo 2 de la ETB;$ 3.681.457,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Contratacion directa - Inciso A
7/12/2021;OC-00010743;TECNICAS MODERNAS DE MEDICION SRL;medición de puesta a tierra, continuidades y prueba de disyuntores de la ETB;$ 498.786,20;Pesos;Subgerencia de Servicios Corporativos y Logistica;Compras Menores
7/12/2021;OC-00010744;Fabrica S.R.L.;Contratación trabajo con máquina para excavación - R11 - RESISTENCIA - CHACO;$ 48.422,80;Pesos;Gerencia de Operaciones Terrestres;
7/12/2021;OC-00010738;ALMAGRO REFRIGERACION Y ASOCIADOS S.A.;Amortiguador de vibración;$ 9.903,35;Pesos;Subgerencia de Servicios Corporativos y Logistica;
7/12/2021;OC-00010739;PEDREGOZA Carlos Ricardo;REBOBINADO TRANSFORMADOR LÁMPARA FLASH EDT:;$ 25.300,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;
9/12/2021;OC-00010746;AUTO TIGRE S.A.;AC856ZD - ESPEJO DERECHO RETRACTIL CHEVROLET S10 MOD2018 - AÑATUYA, SANTIAGO DEL ESTERO-CHEVROLET S10 2.8TD 4X4 DC LT L17--2018-9BG148FK0JC446542-;$ 29.100,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Contratacion directa - Inciso F
9/12/2021;OC-00010751;SYNERGIA-NAVE DISTRIBUCIONES S.A.;GAS OIL;$ 643.860,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Compras Menores
9/12/2021;OC-00010752;CHARTIER MIRTA SUSANA - BONAVIA NEUMATICOS;NWD153 - REPARACION DE FRENOS TRASEROS (DISCOS, PASTILLAS, KIT CALIPERS) - CORDOBA-VW AMAROK 2.0 TD 4x4 DC 2014--2014-8AWDD42H9DA053885-;$ 61.200,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Contratacion directa - Inciso F
9/12/2021;OC-00010753;PILA MARTIN - COTITO;LUL774 - PROVISION Y REEMPLAZO DE TURBO - GOYA, CORRIENTES-VW AMAROK 2.0L TDI 122 CV S34--2012-8AWDD42H8CA025476-;$ 187.000,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Contratacion directa - Inciso F
9/12/2021;OC-00010749;Nacion Seguros S.A.;8 PLACAS TRANSPONDER TN19LSC Y SUS RESPECTIVOS 16 MÓDULOS QUE ESTÁN INSTALADOS EN EL SITIO DWDM LA PLATA;$ 199,76;Dólares;Subgerencia de Servicios Corporativos y Logistica;
9/12/2021;OC-00010754;BARDAHL LUBRICANTES ARG S.A.;Optimizador para gas oil de los generadores;$ 13.215,62;Pesos;Subgerencia de Servicios Corporativos y Logistica;
9/12/2021;OC-00010747;HAUSWAGEN - PILAR S A;AC300KY - SERVICE 120000 KM - BENAVIDEZ-VW VENTO 1.4 TSI BM TECH--2018-3VWVP6162JM012864-GARANTIA;$ 42.160,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;
10/12/2021;OC-00010756;BMZ OPERACION Y MANTENIMIENTO EDILICIO S.A.;Contratación de personal de trabajo a la orden para obras y mantenimiento en la ETB y Depósito Pacheco;$ 1.445.000,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;Contratacion directa - Inciso A
10/12/2021;OC-00010755;CICOGNA JOSE MAXIMILIANO;"Se solicita la compra de 57 (cincuenta y siete) soportes metálicos para matafuegos de 5Kgs.	Especificaciones técnicas adjuntas en archivo PDF.";$ 210.330,00;Pesos;Gerencia de Operaciones Terrestres;Compras Menores
10/12/2021;OC-00010760;SOUTHATLANTIC MARITIME S.A.;Flete internacional;$ 1.079,11;Dólares;Gerencia de Administracion y Finanzas;Compras Menores
10/12/2021;OC-00010757;INDUGAR SRL;Recuplast Frentes Gris;$ 26.920,00;Pesos;Subgerencia de Servicios Corporativos y Logistica;
10/12/2021;OC-00010759;Nacion Seguros S.A.;Poliza de caución - Min de Trabajo;$ 19.000,00;Pesos;Gerencia Comercial;
10/12/2021;OC-00010758;Nacion Seguros S.A.;Exceso traslado a Bariloche ;$ 61,83;Dólares;Subgerencia de Servicios Corporativos y Logistica;
13/12/2021;OC-00010765;LACNIC;LACNIC-Licencia anual 2021;$ 285,00;Dólares;Gerencia de Operaciones Terrestres;Contratacion directa - Inciso C
